t,x,y
0.06666666666666667,664.0,690.0
0.1,664.0,689.0
0.13333333333333333,664.0,689.0
0.16666666666666666,664.0,689.0
0.2,665.0,689.0
0.23333333333333334,666.0,689.0
0.26666666666666666,666.0,689.0
0.3,666.0,689.0
0.3333333333333333,667.0,689.0
0.36666666666666664,667.0,690.0
0.4,668.0,690.0
0.43333333333333335,668.0,690.0
0.4666666666666667,669.0,690.0
0.5,669.0,690.0
0.5333333333333333,669.0,690.0
0.5666666666666667,670.0,691.0
0.6,670.0,691.0
0.6333333333333333,671.0,691.0
0.6666666666666666,671.0,691.0
0.7,671.0,691.0
0.7333333333333333,672.0,690.0
0.7666666666666667,672.0,690.0
0.8,673.0,691.0
0.8333333333333334,673.0,691.0
0.8666666666666667,673.0,691.0
0.9,673.0,691.0
0.9333333333333333,673.0,691.0
0.9666666666666667,674.0,692.0
1.0,674.0,692.0
1.0333333333333334,674.0,692.0
1.0666666666666667,674.0,692.0
1.1,675.0,692.0
1.1333333333333333,674.0,692.0
1.1666666666666667,674.0,692.0
1.2,675.0,692.0
1.2333333333333334,675.0,693.0
1.2666666666666666,674.0,693.0
1.3,674.0,693.0
1.3333333333333333,675.0,693.0
1.3666666666666667,675.0,692.0
1.4,674.0,693.0
1.4333333333333333,674.0,693.0
1.4666666666666666,674.0,693.0
1.5,675.0,693.0
1.5333333333333334,675.0,693.0
1.5666666666666667,675.0,693.0
1.6,675.0,693.0
1.6333333333333333,675.0,693.0
1.6666666666666667,674.0,693.0
1.7,674.0,693.0
1.7333333333333334,674.0,693.0
1.7666666666666666,675.0,693.0
1.8,675.0,693.0
1.8333333333333333,675.0,693.0
1.8666666666666667,675.0,693.0
1.9,676.0,694.0
1.9333333333333333,676.0,694.0
1.9666666666666666,676.0,694.0
2.0,676.0,694.0
2.033333333333333,675.0,694.0
2.066666666666667,676.0,694.0
2.1,676.0,694.0
2.1333333333333333,675.0,694.0
2.1666666666666665,675.0,694.0
2.2,675.0,694.0
2.2333333333333334,675.0,694.0
2.2666666666666666,675.0,695.0
2.3,674.0,695.0
2.3333333333333335,674.0,695.0
2.3666666666666667,674.0,695.0
2.4,673.0,695.0
2.433333333333333,673.0,695.0
2.466666666666667,673.0,695.0
2.5,673.0,695.0
2.533333333333333,673.0,695.0
2.566666666666667,673.0,695.0
2.6,673.0,695.0
2.6333333333333333,673.0,695.0
2.6666666666666665,673.0,695.0
2.7,673.0,695.0
2.7333333333333334,673.0,695.0
2.7666666666666666,673.0,695.0
2.8,673.0,695.0
2.8333333333333335,672.0,695.0
2.8666666666666667,672.0,695.0
2.9,671.0,696.0
2.933333333333333,671.0,696.0
2.966666666666667,671.0,696.0
3.0,670.0,696.0
3.033333333333333,669.0,695.0
3.066666666666667,669.0,695.0
3.1,668.0,695.0
3.1333333333333333,667.0,695.0
3.1666666666666665,667.0,695.0
3.2,666.0,695.0
3.2333333333333334,666.0,695.0
3.2666666666666666,666.0,696.0
3.3,666.0,695.0
3.3333333333333335,666.0,695.0
3.3666666666666667,665.0,696.0
3.4,665.0,695.0
3.433333333333333,665.0,695.0
3.466666666666667,665.0,695.0
3.5,664.0,695.0
3.533333333333333,664.0,695.0
3.566666666666667,664.0,695.0
3.6,664.0,695.0
3.6333333333333333,664.0,695.0
3.6666666666666665,663.0,695.0
3.7,663.0,695.0
3.7333333333333334,663.0,695.0
