t,x2,y2,x1,y1
0.0666666666666666,927.0,789.0,664.0,690.0
0.1,927.0,789.0,664.0,689.0
0.1333333333333333,927.0,789.0,664.0,689.0
0.1666666666666666,929.0,789.0,664.0,689.0
0.2,930.0,789.0,665.0,689.0
0.2333333333333333,931.0,790.0,666.0,689.0
0.2666666666666666,931.0,789.0,666.0,689.0
0.3,932.0,790.0,666.0,689.0
0.3333333333333333,933.0,790.0,667.0,689.0
0.3666666666666666,934.0,790.0,667.0,690.0
0.4,935.0,790.0,668.0,690.0
0.4333333333333333,936.0,790.0,668.0,690.0
0.4666666666666667,937.0,790.0,669.0,690.0
0.5,938.0,790.0,669.0,690.0
0.5333333333333333,939.0,790.0,669.0,690.0
0.5666666666666667,940.0,790.0,670.0,691.0
0.6,941.0,790.0,670.0,691.0
0.6333333333333333,942.0,790.0,671.0,691.0
0.6666666666666666,943.0,790.0,671.0,691.0
0.7,944.0,791.0,671.0,691.0
0.7333333333333333,946.0,790.0,672.0,690.0
0.7666666666666667,947.0,791.0,672.0,690.0
0.8,948.0,790.0,673.0,691.0
0.8333333333333334,949.0,790.0,673.0,691.0
0.8666666666666667,950.0,790.0,673.0,691.0
0.9,952.0,790.0,673.0,691.0
0.9333333333333332,953.0,790.0,673.0,691.0
0.9666666666666668,954.0,789.0,674.0,692.0
1.0,955.0,790.0,674.0,692.0
1.0333333333333334,956.0,790.0,674.0,692.0
1.0666666666666669,957.0,790.0,674.0,692.0
1.1,958.0,790.0,675.0,692.0
1.1333333333333333,959.0,790.0,674.0,692.0
1.1666666666666667,960.0,789.0,674.0,692.0
1.2,961.0,790.0,675.0,692.0
1.2333333333333334,962.0,789.0,675.0,693.0
1.2666666666666666,963.0,788.0,674.0,693.0
1.3,964.0,789.0,674.0,693.0
1.3333333333333333,966.0,790.0,675.0,693.0
1.3666666666666667,967.0,790.0,675.0,692.0
1.4,968.0,789.0,674.0,693.0
1.4333333333333331,969.0,788.0,674.0,693.0
1.4666666666666666,970.0,789.0,674.0,693.0
1.5,971.0,789.0,675.0,693.0
1.5333333333333334,972.0,789.0,675.0,693.0
1.5666666666666669,973.0,789.0,675.0,693.0
1.6,975.0,789.0,675.0,693.0
1.6333333333333333,976.0,789.0,675.0,693.0
1.6666666666666667,977.0,789.0,674.0,693.0
1.7,978.0,789.0,674.0,693.0
1.7333333333333334,979.0,788.0,674.0,693.0
1.7666666666666666,980.0,788.0,675.0,693.0
1.8,981.0,788.0,675.0,693.0
1.8333333333333333,982.0,788.0,675.0,693.0
1.8666666666666667,983.0,788.0,675.0,693.0
1.9,984.0,788.0,676.0,694.0
1.9333333333333331,985.0,787.0,676.0,694.0
1.9666666666666663,986.0,787.0,676.0,694.0
2.0,987.0,786.0,676.0,694.0
2.033333333333333,988.0,786.0,675.0,694.0
2.066666666666667,989.0,786.0,676.0,694.0
2.1,990.0,785.0,676.0,694.0
2.1333333333333333,991.0,785.0,675.0,694.0
2.1666666666666665,992.0,785.0,675.0,694.0
2.2,994.0,786.0,675.0,694.0
2.2333333333333334,995.0,785.0,675.0,694.0
2.2666666666666666,996.0,785.0,675.0,695.0
2.3,996.0,783.0,674.0,695.0
2.333333333333333,998.0,785.0,674.0,695.0
2.3666666666666667,999.0,784.0,674.0,695.0
2.4,1000.0,784.0,673.0,695.0
2.433333333333333,1001.0,784.0,673.0,695.0
2.466666666666667,1002.0,783.0,673.0,695.0
2.5,1003.0,784.0,673.0,695.0
2.533333333333333,1004.0,783.0,673.0,695.0
2.566666666666667,1005.0,783.0,673.0,695.0
2.6,1006.0,783.0,673.0,695.0
2.6333333333333333,1007.0,782.0,673.0,695.0
2.6666666666666665,1008.0,782.0,673.0,695.0
2.7,1009.0,781.0,673.0,695.0
2.7333333333333334,1010.0,782.0,673.0,695.0
2.7666666666666666,1011.0,782.0,673.0,695.0
2.8,1012.0,782.0,673.0,695.0
2.833333333333333,1013.0,781.0,672.0,695.0
2.8666666666666667,1014.0,781.0,672.0,695.0
2.9,1015.0,780.0,671.0,696.0
2.933333333333333,1016.0,781.0,671.0,696.0
2.966666666666667,1017.0,780.0,671.0,696.0
3.0,1018.0,780.0,670.0,696.0
3.033333333333333,1019.0,780.0,669.0,695.0
3.066666666666667,1020.0,780.0,669.0,695.0
3.1,1021.0,780.0,668.0,695.0
3.1333333333333333,1022.0,779.0,667.0,695.0
3.1666666666666665,1023.0,779.0,667.0,695.0
3.2,1024.0,779.0,666.0,695.0
3.2333333333333334,1025.0,779.0,666.0,695.0
3.2666666666666666,1026.0,779.0,666.0,696.0
3.3,1027.0,779.0,666.0,695.0
3.333333333333333,1028.0,778.0,666.0,695.0
3.3666666666666667,1029.0,778.0,665.0,696.0
3.4,1030.0,778.0,665.0,695.0
3.433333333333333,1031.0,778.0,665.0,695.0
3.466666666666667,1032.0,778.0,665.0,695.0
3.5,1033.0,778.0,664.0,695.0
3.533333333333333,1034.0,776.0,664.0,695.0
3.566666666666667,1036.0,777.0,664.0,695.0
3.6,1037.0,776.0,664.0,695.0
3.633333333333333,1038.0,776.0,664.0,695.0
3.6666666666666665,1039.0,776.0,663.0,695.0
3.7,1040.0,776.0,663.0,695.0
3.733333333333333,1041.0,774.0,663.0,695.0
3.7666666666666666,1042.0,774.0,663.0,695.0
3.8,1043.0,774.0,663.0,695.0
3.8333333333333335,1044.0,774.0,662.0,695.0
3.8666666666666663,1045.0,774.0,662.0,694.0
3.9,1047.0,774.0,662.0,694.0
3.933333333333333,1048.0,774.0,662.0,694.0
3.966666666666667,1049.0,773.0,661.0,695.0
4.0,1050.0,773.0,661.0,694.0
4.033333333333333,1051.0,773.0,660.0,694.0
4.066666666666666,1052.0,772.0,660.0,694.0
4.1,1053.0,772.0,660.0,694.0
4.133333333333334,1054.0,772.0,660.0,694.0
4.166666666666667,1055.0,772.0,659.0,694.0
4.2,1057.0,771.0,659.0,694.0
4.233333333333333,1058.0,771.0,659.0,694.0
4.266666666666667,1059.0,771.0,659.0,694.0
4.3,1060.0,771.0,658.0,694.0
4.333333333333333,1061.0,770.0,658.0,694.0
4.366666666666666,1062.0,770.0,658.0,694.0
4.4,1063.0,770.0,657.0,694.0
4.433333333333334,1064.0,769.0,657.0,694.0
4.466666666666667,1065.0,769.0,657.0,694.0
4.5,1066.0,768.0,656.0,694.0
4.533333333333333,1067.0,768.0,656.0,694.0
4.566666666666666,1067.0,768.0,655.0,694.0
4.6,1068.0,768.0,655.0,694.0
4.633333333333334,1069.0,767.0,655.0,694.0
4.666666666666667,1069.0,767.0,655.0,694.0
4.7,1070.0,767.0,655.0,694.0
4.733333333333333,1071.0,766.0,655.0,694.0
4.766666666666667,1071.0,766.0,655.0,694.0
4.8,1072.0,765.0,655.0,694.0
4.833333333333333,1072.0,765.0,655.0,694.0
4.866666666666666,1073.0,765.0,654.0,694.0
4.9,1074.0,765.0,654.0,694.0
4.933333333333334,1074.0,765.0,654.0,694.0
4.966666666666667,1075.0,765.0,654.0,694.0
5.0,1075.0,764.0,654.0,694.0
5.033333333333333,1075.0,764.0,653.0,694.0
5.066666666666666,1076.0,764.0,653.0,694.0
5.1,1077.0,763.0,653.0,694.0
5.133333333333334,1077.0,764.0,653.0,694.0
5.166666666666667,1078.0,763.0,653.0,694.0
5.2,1078.0,763.0,653.0,694.0
5.233333333333333,1079.0,763.0,653.0,693.0
5.266666666666667,1079.0,762.0,652.0,693.0
5.3,1080.0,762.0,652.0,693.0
5.333333333333333,1080.0,762.0,652.0,693.0
5.366666666666666,1081.0,761.0,651.0,693.0
5.4,1081.0,761.0,651.0,693.0
5.433333333333334,1082.0,761.0,651.0,693.0
5.466666666666667,1082.0,760.0,651.0,693.0
5.5,1082.0,760.0,651.0,693.0
5.533333333333333,1083.0,760.0,650.0,693.0
5.566666666666666,1083.0,760.0,650.0,693.0
5.6,1083.0,759.0,650.0,693.0
5.633333333333334,1084.0,759.0,649.0,693.0
5.666666666666667,1084.0,759.0,649.0,693.0
5.7,1084.0,758.0,649.0,693.0
5.733333333333333,1085.0,758.0,649.0,693.0
5.766666666666667,1085.0,757.0,648.0,692.0
5.8,1085.0,758.0,648.0,692.0
5.833333333333333,1085.0,757.0,648.0,692.0
